Time (s);Identifier;Duration
4.031250;33025;0.000000
4.125000;33024;0.000000
13.875000;33025;0.000000
13.906250;33024;0.000000
23.781250;33025;0.000000
23.812500;33024;0.000000
33.750000;33025;0.000000
33.781250;33024;0.000000
43.937500;33025;0.000000
43.968750;33024;0.000000
53.656250;33025;0.000000
53.687500;33024;0.000000
63.656250;33025;0.000000
63.687500;33024;0.000000
73.531250;33025;0.000000
73.562500;33024;0.000000
83.625000;33025;0.000000
83.656250;33024;0.000000
93.500000;33025;0.000000
93.531250;33024;0.000000
103.406250;33025;0.000000
103.437500;33024;0.000000
113.312500;33025;0.000000
113.343750;33024;0.000000
123.312500;33025;0.000000
123.343750;33024;0.000000
133.281250;33025;0.000000
133.312500;33024;0.000000
143.281250;33025;0.000000
143.312500;33024;0.000000
153.218750;33025;0.000000
153.250000;33024;0.000000
163.312500;33025;0.000000
163.343750;33024;0.000000
173.218750;33025;0.000000
173.250000;33024;0.000000
183.031250;33025;0.000000
183.062500;33024;0.000000
