Time (s);Identifier;Duration
4.437500;33025;0.000000
4.562500;33024;0.000000
14.375000;33025;0.000000
14.406250;33024;0.000000
24.375000;33025;0.000000
24.406250;33024;0.000000
34.343750;33025;0.000000
34.375000;33024;0.000000
44.250000;33025;0.000000
44.281250;33024;0.000000
54.375000;33025;0.000000
54.406250;33024;0.000000
64.218750;33025;0.000000
64.250000;33024;0.000000
74.156250;33025;0.000000
74.187500;33024;0.000000
84.093750;33025;0.000000
84.125000;33024;0.000000
94.250000;33025;0.000000
94.281250;33024;0.000000
103.937500;33025;0.000000
103.968750;33024;0.000000
113.906250;33025;0.000000
113.937500;33024;0.000000
123.812500;33025;0.000000
123.843750;33024;0.000000
133.843750;33025;0.000000
133.875000;33024;0.000000
143.750000;33025;0.000000
143.781250;33024;0.000000
153.718750;33025;0.000000
153.750000;33024;0.000000
163.656250;33025;0.000000
163.687500;33024;0.000000
173.656250;33025;0.000000
173.687500;33024;0.000000
