Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.246094;2.021568;1.971511;0.817998;0.873766;-1.359470;0.450266;-0.080946;2.158093;
0.250000;-4.196022;-3.947140;-4.126110;-7.159613;-5.274181;-7.207660;-4.351770;-4.933661;
0.253906;-1.072193;-3.138753;-0.248008;-3.102133;-2.202640;-4.289799;-2.523469;-4.300303;
0.257813;8.289557;4.323259;8.145982;8.571350;4.605372;5.989279;3.390978;3.922272;
0.261719;9.826641;6.585095;8.285093;11.699386;5.468235;9.409565;4.113258;7.216999;
0.265625;-5.614072;-7.164838;-8.106713;-4.462161;-6.973808;-3.645226;-7.764681;-4.817007;
0.269531;-14.511595;-14.889369;-16.487173;-13.726916;-14.276134;-11.784393;-14.079880;-12.407495;
0.273438;-10.142452;-10.230386;-11.193825;-8.427299;-10.589848;-6.932572;-10.267805;-8.512362;
0.277344;-1.043120;-1.851977;-1.242558;1.098852;-2.204278;2.272841;-3.071652;-0.700113;
0.281250;2.619313;1.020132;3.194670;3.835999;1.794996;4.510098;0.172917;1.816016;
0.285156;-5.639810;-6.801001;-5.309130;-6.362927;-4.878952;-4.961951;-5.466326;-5.669990;
0.289063;-3.806103;-3.081256;-3.516290;-4.590726;-3.654082;-4.466066;-2.077456;-3.415700;
0.292969;8.164662;10.534082;8.359452;8.641834;5.719326;6.348606;8.766772;7.926139;
0.296875;13.871840;16.537867;13.395110;14.102476;10.022511;11.337215;12.972600;13.023178;
0.300781;11.678089;14.657838;11.259719;10.600044;8.804480;8.357200;11.208427;10.769817;
0.304688;1.557905;6.192694;1.578025;-0.876414;1.519480;-1.844204;4.277844;2.404299;
0.308594;0.391701;7.501932;0.559415;-1.006961;0.339629;-3.114622;4.562218;2.929742;
0.312500;6.680470;15.325428;5.341165;8.541649;3.622929;5.206845;9.363990;10.491369;
0.316406;4.576239;12.806487;0.935277;7.813374;0.592599;7.430947;6.521996;9.892395;
0.320313;-0.818084;5.582281;-4.167991;0.940931;-2.831949;3.340410;1.801844;4.301856;
0.324219;-4.362672;-0.177494;-5.581171;-4.937681;-3.920355;-2.817978;-1.011198;-0.875924;
0.328125;5.331824;7.332309;6.327096;4.188372;5.685010;2.525073;7.282183;5.856988;
0.332031;17.198334;16.533701;19.734760;15.991621;17.398497;11.520547;17.634661;14.739962;
0.335938;7.485710;4.885687;9.926283;4.123705;10.802402;1.806359;9.487862;4.424759;
0.339844;-8.152786;-10.137522;-6.954204;-12.710726;-2.479813;-13.507504;-4.396914;-10.905787;
0.343750;-12.285146;-12.873990;-12.201182;-15.337348;-7.186483;-17.009396;-8.836771;-15.373713;
0.347656;-3.659019;-3.932571;-2.468516;-4.563672;-0.155490;-7.638314;-1.949035;-8.072696;
0.351563;1.254470;0.414560;4.381249;0.784837;5.018069;-2.114703;2.219283;-3.692268;
0.355469;-9.255656;-11.919023;-6.294970;-11.378072;-2.988169;-11.397374;-6.944270;-13.075818;
0.359375;-12.231404;-17.179897;-9.350566;-14.195449;-5.712890;-13.758473;-9.837803;-16.181017;
0.363281;-5.139250;-10.527212;-1.528727;-4.489575;-0.933062;-5.127064;-4.237531;-9.259362;
0.367188;-1.400638;-5.066028;1.886132;0.943832;1.067472;1.351140;-1.546204;-3.852075;
0.371094;-4.210625;-6.395582;-2.009627;-2.513269;-0.873648;-0.376083;-3.951346;-4.914588;
0.375000;-12.801413;-15.108811;-11.236051;-12.939654;-6.628814;-9.527906;-11.030262;-12.527818;
0.378906;-8.969872;-11.386351;-6.864127;-8.558906;-3.396018;-6.631922;-8.031896;-8.840360;
0.382813;1.714811;0.032278;3.697997;4.173230;3.987232;4.241059;0.677846;1.837190;
0.386719;1.821452;0.788492;2.568908;3.905383;3.519805;4.494232;1.154839;2.218053;
0.390625;-3.140499;-3.767340;-2.947896;-3.130547;0.143950;-1.744642;-2.355709;-3.143685;
0.394531;-9.485388;-8.809827;-9.102835;-11.477787;-5.259365;-8.893180;-7.430685;-9.056653;
0.398438;-7.139456;-3.646518;-5.015949;-9.690232;-3.867271;-7.178898;-4.724362;-6.091526;
0.402344;-0.626628;4.715876;3.327015;-2.474967;2.386791;-0.243675;1.950681;0.804660;
0.406250;-2.786331;1.573205;0.001844;-3.825053;1.322825;-0.018601;0.022361;-0.510810;
0.410156;-4.518302;-1.713624;-4.605836;-4.084090;-1.812151;-0.200381;-3.161389;-1.966477;
