Time (s);Identifier;Duration
4.562500;33025;0.000000
4.656250;33024;0.000000
14.468750;33025;0.000000
14.500000;33024;0.000000
24.625000;33025;0.000000
24.781250;33024;0.000000
34.437500;33025;0.000000
34.468750;33024;0.000000
44.250000;33025;0.000000
44.406250;33024;0.000000
54.281250;33025;0.000000
54.312500;33024;0.000000
64.218750;33025;0.000000
64.250000;33024;0.000000
74.187500;33025;0.000000
74.312500;33024;0.000000
84.156250;33025;0.000000
84.187500;33024;0.000000
94.093750;33025;0.000000
94.125000;33024;0.000000
104.093750;33025;0.000000
104.125000;33024;0.000000
114.000000;33025;0.000000
114.031250;33024;0.000000
123.968750;33025;0.000000
124.125000;33024;0.000000
133.843750;33025;0.000000
134.000000;33024;0.000000
143.875000;33025;0.000000
144.031250;33024;0.000000
153.718750;33025;0.000000
153.750000;33024;0.000000
163.812500;33025;0.000000
163.968750;33024;0.000000
173.718750;33025;0.000000
173.750000;33024;0.000000
183.656250;33025;0.000000
183.687500;33024;0.000000
